id	name	x	y	link
1		55.905714	9.904000	2|90|45
2		52.597600	9.893400	76|3|46|1
3		48.666200	9.883100	65|47|4|2
4		45.406200	9.883100	48|3|5|66
5		41.496200	9.883100	49|6|4|67
6		38.236200	9.883100	68|5|7|50
7		34.326200	9.883100	69|6|51|8
8		31.066200	9.883100	70|7|9|52
9		27.156200	9.883100	71|53|10|8
10		23.896200	9.883100	54|12|9|72
12		19.954200	9.883100	55|13|64|10
13		16.726200	9.883100	73|12|14|56
14		12.816200	9.883100	15|13|63|57
15		9.533800	9.883100	16|58|14|77
16		7.111200	9.883100	15
17		9.478419	25.558577	62|18|77
18		12.767858	25.571759	63|17|19|37
19		16.751200	25.577710	20|73|18|38
20		19.881650	25.544001	39|64|21|19
21		23.942400	25.556345	20|22|40|72
22		27.144317	25.522626	21|71|41|23
23		31.108050	25.544001	24|22|42|70
24		34.261200	25.543994	69|25|43|23
25		38.278050	25.560852	24|44|26|68
26		41.435813	25.573193	25|27|35|67
27		45.446895	25.573193	66|26|34|28
28		48.584550	25.573360	65|74|33|27
29		55.871873	25.625370	74|31|30|61
30	7-1	55.884435	29.616257	29
31		55.887333	20.725363	75|29|59|90
32	7-2	52.613700	29.633100	74
33	7-3	48.568700	29.633100	28
34	7-4	45.443700	29.633100	27
35	7-5	41.398700	29.633100	26
37	7-13	12.718700	29.633100	18
38	7-12	16.763700	29.633100	19
39	7-11	19.888700	29.633100	20
40	7-10	23.933700	29.633100	21
41	7-09	27.058700	29.633100	22
42	7-8	31.103700	29.633100	23
43	7-7	34.228700	29.633100	24
44	7-6	38.273700	29.633100	25
45	1	55.900536	3.947204	1
46	2|1	52.576200	3.973100	2
47	4|3	48.666200	3.973100	3
48	5|4	45.406200	3.973100	4
49	7|6	41.496200	3.973100	5
50	8|7	38.236200	3.973100	6
51	10|9	34.326200	3.973100	7
52	11|10	31.066200	3.973100	8
53	13|12	27.156200	3.973100	9
54	14|13	23.896200	3.973100	10
55	16|15	19.973800	3.973100	12
56	17|16	16.726200	3.973100	13
57	19|18	12.816200	3.973100	14
58	20|19	9.556200	3.973100	15
59	42|41	61.806200	20.728100	31
60	40	61.806200	15.903100	90
61	44|43	61.806200	25.618100	29
62		7.111200	25.567252	17
63	21|22	12.790904	16.393052	18|14
64	24|25	19.932614	16.393052	20|12
65	37|38	48.640992	16.393052	3|28
66	36|37	45.415848	16.393052	27|4
67	33|35	41.470951	16.393052	5|26
68	32|33	38.245864	16.393052	6|25
69	30|31	34.300934	16.393052	24|7
70	29|30	31.075864	16.393052	23|8
71	27|28	27.151144	16.393052	22|9
72	26|27	23.905864	16.393052	21|10
73	23|24	16.735864	16.393052	13|19
74		52.638803	25.598756	75|29|32|28
75		52.642741	20.770085	76|74|31
76		52.613398	15.915192	75|90|2
77	21	9.509231	16.511442	17|15
90		55.908955	15.940841	76|1|31|60
